population_id,zip_code,average_pop
1,601,"18,281"
2,602,"41,032"
3,603,"53,503"
4,606,"6,464"
5,610,"28,763"
6,612,"67,082"
7,616,"10,580"
8,617,"24,718"
9,622,"6,680"
10,623,"43,972"
11,624,"25,359"
12,627,"34,597"
13,631,"1,776"
14,637,"24,902"
15,638,"18,584"
16,641,"30,282"
17,646,"38,231"
18,647,"5,712"
19,650,"14,919"
20,652,"3,760"
21,653,"13,198"
22,656,"21,003"
23,659,"41,773"
24,660,"17,058"
25,662,"43,086"
26,664,"16,404"
27,667,"25,591"
28,669,"28,816"
29,670,"9,582"
30,674,"43,522"
31,676,"39,670"
32,677,"15,057"
33,678,"27,221"
34,680,"55,271"
35,682,"32,615"
36,683,"33,228"
37,685,"41,770"
38,687,"32,458"
39,688,"13,021"
40,690,"6,062"
41,692,"37,320"
42,693,"59,841"
43,694,159
44,698,"40,759"
45,703,"28,689"
46,704,"8,110"
47,705,"25,201"
48,707,"11,987"
49,714,"19,287"
50,715,"3,974"
51,716,"31,957"
52,717,"18,243"
53,718,"26,600"
54,719,"30,747"
55,720,"22,909"
56,723,"18,894"
57,725,"88,694"
58,727,"56,950"
59,728,"42,747"
60,729,"54,070"
61,730,"36,896"
62,731,"14,452"
63,735,"13,454"
64,736,"51,128"
65,738,"34,152"
66,739,"38,708"
67,740,"1,799"
68,741,"5,188"
69,745,"54,498"
70,751,"23,019"
71,754,"40,218"
72,757,"23,103"
73,765,"9,094"
74,766,"25,776"
75,767,"37,214"
76,769,"39,959"
77,771,"38,291"
78,772,"21,879"
79,773,"19,801"
80,775,"1,603"
81,777,"40,732"
82,778,"46,044"
83,780,"13,258"
84,782,"18,780"
85,783,"36,070"
86,784,"43,725"
87,786,332
88,791,"52,259"
89,794,"30,419"
90,795,"47,543"
91,901,"6,421"
92,906,40
93,907,"17,305"
94,909,"5,786"
95,911,"7,652"
96,912,"6,367"
97,913,"8,638"
98,915,"31,231"
99,917,"20,354"
100,918,"16,901"
101,920,"18,468"
102,921,"38,061"
103,923,"28,389"
104,924,"56,430"
105,925,"7,140"
106,926,"106,683"
107,927,"14,991"
108,934,199
109,936,"1,011"
110,949,"80,738"
111,950,1
112,951,16
113,952,"9,684"
114,953,"73,040"
115,956,"76,903"
116,957,"45,024"
117,959,"48,689"
118,960,"1,989"
119,961,"32,033"
120,962,"21,660"
121,965,"8,852"
122,966,"16,573"
123,968,"3,593"
124,969,"42,640"
125,971,"30,049"
126,976,"63,141"
127,979,"16,110"
128,982,"15,815"
129,983,"40,566"
130,985,"35,829"
131,987,"60,485"
132,1001,"17,167"
133,1002,"29,187"
134,1003,"11,115"
135,1005,"5,163"
136,1007,"14,699"
137,1008,"1,191"
138,1009,567
139,1010,"3,645"
140,1011,"1,421"
141,1012,546
142,1013,"22,450"
143,1020,"30,504"
144,1022,"2,646"
145,1026,"1,033"
146,1027,"17,691"
147,1028,"15,828"
148,1029,677
149,1030,"11,389"
150,1031,"1,402"
